COD_CURSO;COD_DISCIPLINA;COD_TURMA;HR_INICIO;NOME_DISCIPLINA;VAGAS_OFERECIDAS;VAGAS_OCUPADAS;DIA_SEMANA;HR_FIM;TIPO_AULA;NUM_SALA
AMB;GFSQ9209;130024;19:10:00;ANÁLISES FÍSICO-QUÍMICAS II;60;20;SEX;22:40:00;Teórica;D-326
GTEL;GELE7291;580531;15:35:00;ANTENAS;50;6;SEG;17:20:00;Teórica;E-301
GTEL;GELE7291;580531;17:25:00;ANTENAS;50;6;SEG;19:10:00;Prática;
BCC;GCC1102;910004;18:20:00;ARQUITETURA DE COMPUTADORES;32;13;TER;21:40:00;Teórica;H-103
WEB;GTSI1411;600001;18:20:00;ARQUITETURA DE COMPUTADORES;6;5;TER;21:40:00;Teórica;H-103
BCC;GCC1519;951519;14:30:00;ARQUITETURA DE LINGUAGENS DE PROGRAMAÇÃO;25;4;SEX;18:15:00;Teórica;PAV01LAB03
WEB;GTSI1309;690023;14:30:00;ARQUITETURA DE LINGUAGENS DE PROGRAMAÇÃO;25;0;SEX;18:15:00;Teórica;PAV01LAB03
BCC;GCC1520;951520;18:20:00;ARQUITETURA E PADRÕES DE SOFTWARE;25;9;SEG;21:50:00;Teórica;PAV1LAB4
WEB;GTSI1252;680032;18:20:00;ARQUITETURA E PADRÕES DE SOFTWARE;25;4;SEG;21:50:00;Teórica;PAV1LAB4
GCIV;GCIV8402;730023;19:10:00;ARQUITETURA E URBANISMO I;45;32;SEX;21:50:00;Teórica;D-218
GCIV;GCIV8504;740032;19:10:00;ARQUITETURA E URBANISMO II;40;31;SEG;21:50:00;Teórica;D-206
BCC;GCC1206;920004;18:20:00;ARQUITETURAS AVANÇADAS DE COMPUTADORES;25;25;QUI;20:00:00;Teórica;LAB-2
WEB;GTSI1301;660055;18:20:00;ARQUITETURAS AVANÇADAS DE COMPUTADORES;25;16;QUI;20:00:00;Teórica;PAV1LAB02
GAUT;GEDA1815;659001;17:25:00;Atividade Empreendedora;5;0;TER;20:00:00;Teórica;E-305
GELT;GEDA1815;390001;17:25:00;Atividade Empreendedora;5;0;TER;20:00:00;Teórica;E-305
GEL;GEDA1815;290001;17:25:00;Atividade Empreendedora;7;2;TER;20:00:00;Teórica;E-305
GTEL;GEDA1815;590001;17:25:00;Atividade Empreendedora;5;0;TER;20:00:00;Teórica;E-305
GAUT;GELE7105;658003;18:20:00;AUTOMAÇÃO DE SISTEMAS;30;4;TER;19:10:00;Teórica;E 201
GAUT;GELE7105;658003;19:10:00;AUTOMAÇÃO DE SISTEMAS;30;4;TER;20:50:00;Prática;
GMEC;GMEC7608;190604;16:30:00;AUTOMAÇÃO INDUSTRIAL;30;30;SEG;18:15:00;Prática;
GMEC;GMEC7608;190604;18:20:00;AUTOMAÇÃO INDUSTRIAL;30;30;SEG;20:00:00;Teórica;D-310
GPROD;GPRO7836;483601;13:35:00;AVALIAÇÃO DE CICLO DE VIDA DE PRODUTOS;15;15;QUA;16:25:00;Teórica;E-512
AMB;GFSQ9202;130002;17:30:00;BIOLOGIA;20;11;TER;19:10:00;Teórica;A-303
AMB;GFSQ9202;130002;17:30:00;BIOLOGIA;20;11;QUI;19:10:00;Teórica;A-303
GAMB;GEAMB1103;152005;;BIOLOGIA AMBIENTAL;50;0;;;;
GAUT;GEXT7301;650002-B;13:35:00;CÁLCULO A UMA VARIÁVEL;5;5;SEG;16:25:00;Teórica;H-101
GAUT;GEXT7301;650002;13:35:00;CÁLCULO A UMA VARIÁVEL;0;0;SEG;16:25:00;Teórica;H-101
GAUT;GEXT7301;650002-B;12:40:00;CÁLCULO A UMA VARIÁVEL;5;5;QUA;14:25:00;Teórica;H-101
GAUT;GEXT7301;650002;12:40:00;CÁLCULO A UMA VARIÁVEL;0;0;QUA;14:25:00;Teórica;H-101
GAMB;GEXT7301;162001;;CÁLCULO A UMA VARIÁVEL;50;0;;;;
BCC;GEXT7301;910001-B;15:35:00;CÁLCULO A UMA VARIÁVEL;5;2;TER;18:15:00;Teórica;CAMPIII202
BCC;GEXT7301;910001;15:35:00;CÁLCULO A UMA VARIÁVEL;0;0;TER;18:15:00;Teórica;CAMPIII202
BCC;GEXT7301;910001-B;15:35:00;CÁLCULO A UMA VARIÁVEL;5;2;QUA;17:25:00;Teórica;CAMPIII202
BCC;GEXT7301;910001;15:35:00;CÁLCULO A UMA VARIÁVEL;0;0;QUA;17:25:00;Teórica;CAMPIII202
GEL;GEXT7301;201020-B;15:35:00;CÁLCULO A UMA VARIÁVEL;5;3;QUI;17:20:00;Teórica;E-307
GEL;GEXT7301;201020-B;13:35:00;CÁLCULO A UMA VARIÁVEL;5;3;SEG;16:25:00;Teórica;H-102
GEL;GEXT7301;201020;15:35:00;CÁLCULO A UMA VARIÁVEL;0;0;QUI;17:20:00;Teórica;E-307
GEL;GEXT7301;201020;13:35:00;CÁLCULO A UMA VARIÁVEL;0;0;SEG;16:25:00;Teórica;H-102
GCIV;GEXT7301;700002-B;15:35:00;CÁLCULO A UMA VARIÁVEL;15;11;QUI;18:15:00;Teórica;H-104
GCIV;GEXT7301;700002-B;14:30:00;CÁLCULO A UMA VARIÁVEL;15;11;TER;16:25:00;Teórica;H-101
GCIV;GEXT7301;700002;15:35:00;CÁLCULO A UMA VARIÁVEL;0;0;QUI;18:15:00;Teórica;H-104
GCIV;GEXT7301;700002;14:30:00;CÁLCULO A UMA VARIÁVEL;0;0;TER;16:25:00;Teórica;H-101
GELT;GEXT7301;301020;13:35:00;CÁLCULO A UMA VARIÁVEL;0;0;SEG;16:25:00;Teórica;H-102
GELT;GEXT7301;301020;15:35:00;CÁLCULO A UMA VARIÁVEL;0;0;QUI;17:20:00;Teórica;E-307
GELT;GEXT7301;301020-B;13:35:00;CÁLCULO A UMA VARIÁVEL;5;2;SEG;16:25:00;Teórica;H-102
GELT;GEXT7301;301020-B;15:35:00;CÁLCULO A UMA VARIÁVEL;5;2;QUI;17:20:00;Teórica;E-307
GMEC;GEXT7301;101027;08:50:00;CÁLCULO A UMA VARIÁVEL;43;0;SEG;09:40:00;Teórica;H-104
GMEC;GEXT7301;101027;08:50:00;CÁLCULO A UMA VARIÁVEL;43;0;QUI;10:45:00;Teórica;H-101
GMEC;GEXT7301;101027;08:50:00;CÁLCULO A UMA VARIÁVEL;43;0;SEX;10:45:00;Teórica;H-101
GMEC;GEXT7301;101027-B;08:50:00;CÁLCULO A UMA VARIÁVEL;30;13;QUI;11:40:00;Teórica;L-35
GMEC;GEXT7301;101027-B;08:50:00;CÁLCULO A UMA VARIÁVEL;30;13;SEX;10:45:00;Teórica;L-35
GPROD;GEXT7301;400001;10:50:00;CÁLCULO A UMA VARIÁVEL;0;0;SEG;11:40:00;Teórica;H-101
GPROD;GEXT7301;400001;10:50:00;CÁLCULO A UMA VARIÁVEL;0;0;QUI;12:35:00;Teórica;H-101
GPROD;GEXT7301;400001;10:50:00;CÁLCULO A UMA VARIÁVEL;0;0;SEX;12:35:00;Teórica;H-101
GPROD;GEXT7301;400001-B;10:50:00;CÁLCULO A UMA VARIÁVEL;10;10;SEG;11:40:00;Teórica;H-101
GPROD;GEXT7301;400001-B;10:50:00;CÁLCULO A UMA VARIÁVEL;10;10;QUI;12:35:00;Teórica;H-101
GPROD;GEXT7301;400001-B;10:50:00;CÁLCULO A UMA VARIÁVEL;10;10;SEX;12:35:00;Teórica;H-101
GTEL;GEXT7301;501020;13:35:00;CÁLCULO A UMA VARIÁVEL;1;1;SEG;16:25:00;Teórica;H-101
GTEL;GEXT7301;501020;12:40:00;CÁLCULO A UMA VARIÁVEL;1;1;QUA;14:25:00;Teórica;H-101
GTEL;GEXT7301;501020-B;13:35:00;CÁLCULO A UMA VARIÁVEL;5;5;SEG;16:25:00;Teórica;H-101
GTEL;GEXT7301;501020-B;12:40:00;CÁLCULO A UMA VARIÁVEL;5;5;QUA;14:25:00;Teórica;H-101
GAUT;GEXT7302;651009;15:35:00;CÁLCULO A VÁRIAS VARIÁVEIS;25;16;QUI;17:20:00;Teórica;CAMPIII102
GAUT;GEXT7302;651009;14:30:00;CÁLCULO A VÁRIAS VARIÁVEIS;25;16;SEX;16:25:00;Teórica;E-305
BCC;GEXT7302;920001;12:40:00;CÁLCULO A VÁRIAS VARIÁVEIS;25;25;SEG;14:25:00;Teórica;CAMPIII202
BCC;GEXT7302;920001;13:35:00;CÁLCULO A VÁRIAS VARIÁVEIS;25;25;TER;15:20:00;Teórica;CAMPIII202
GEL;GEXT7302;212105;16:30:00;CÁLCULO A VÁRIAS VARIÁVEIS;25;14;SEX;18:20:00;Teórica;H-103
GEL;GEXT7302;212105;17:30:00;CÁLCULO A VÁRIAS VARIÁVEIS;25;14;QUI;19:10:00;Teórica;E-303
GCIV;GEXT7302;710001;14:30:00;CÁLCULO A VÁRIAS VARIÁVEIS;50;50;SEX;16:25:00;Teórica;H-104
GCIV;GEXT7302;710001;15:35:00;CÁLCULO A VÁRIAS VARIÁVEIS;50;50;QUI;17:20:00;Teórica;E-301
GELT;GEXT7302;312105;17:30:00;CÁLCULO A VÁRIAS VARIÁVEIS;25;15;QUI;19:10:00;Teórica;E-303
GELT;GEXT7302;312105;16:30:00;CÁLCULO A VÁRIAS VARIÁVEIS;25;15;SEX;18:20:00;Teórica;H-103
GMEC;GEXT7302;110191;07:00:00;CÁLCULO A VÁRIAS VARIÁVEIS;50;38;SEG;08:45:00;Teórica;H-104
GMEC;GEXT7302;110191;07:00:00;CÁLCULO A VÁRIAS VARIÁVEIS;50;38;TER;08:45:00;Teórica;H-104
GPROD;GEXT7302;410011;09:55:00;CÁLCULO A VÁRIAS VARIÁVEIS;50;49;SEG;11:40:00;Teórica;H-102
GPROD;GEXT7302;410011;08:50:00;CÁLCULO A VÁRIAS VARIÁVEIS;50;49;TER;10:45:00;Teórica;H-101
GTEL;GEXT7302;510106;15:35:00;CÁLCULO A VÁRIAS VARIÁVEIS;25;19;QUI;17:20:00;Teórica;CAMPIII102
GTEL;GEXT7302;510106;14:30:00;CÁLCULO A VÁRIAS VARIÁVEIS;25;19;SEX;16:25:00;Teórica;E-305
AMB;GMAD9201;130003;17:30:00;CÁLCULO BÁSICO;20;21;SEG;19:10:00;Teórica;A-303
AMB;GMAD9201;130003;19:10:00;CÁLCULO BÁSICO;20;21;QUA;20:50:00;Teórica;
GEL;GELE7304;272253;17:25:00;CÁLCULO ELÉTRICO DE LINHAS DE TRANSMISSÃO;30;8;QUI;19:10:00;Teórica;CAMPIII205
GEL;GELE7305;262514;19:10:00;CÁLCULO MECÂNICO DE LINHAS DE TRANSMISSÃO;30;16;TER;20:50:00;Teórica;H-101
GAUT;GEXT7402;652022;15:35:00;CÁLCULO NUMÉRICO;20;8;QUA;17:20:00;Teórica;L-21
GAUT;GEXT7402;652022;14:30:00;CÁLCULO NUMÉRICO;20;8;SEG;16:25:00;Prática;E-306
BCC;GEXT7402;940001;14:30:00;CÁLCULO NUMÉRICO;40;15;QUA;16:25:00;Prática;E-306
BCC;GEXT7402;940001;12:40:00;CÁLCULO NUMÉRICO;40;15;QUA;14:25:00;Teórica;E-307
GEL;GEXT7402;222202;17:25:00;CÁLCULO NUMÉRICO;20;9;QUA;19:10:00;Teórica;L-21
GEL;GEXT7402;222202;16:30:00;CÁLCULO NUMÉRICO;20;9;SEG;18:15:00;Prática;E-306
GCIV;GEXT7402;720012;14:30:00;CÁLCULO NUMÉRICO;40;40;QUA;16:25:00;Prática;CAMPIII203
GCIV;GEXT7402;720012;12:40:00;CÁLCULO NUMÉRICO;40;40;QUA;14:25:00;Prática;CAMPIII203
GELT;GEXT7402;322202;16:30:00;CÁLCULO NUMÉRICO;20;5;SEG;18:15:00;Prática;E-306
GELT;GEXT7402;322202;17:25:00;CÁLCULO NUMÉRICO;20;5;QUA;19:10:00;Teórica;L-21
GMEC;GEXT7402;120302;07:00:00;CÁLCULO NUMÉRICO;45;45;QUI;08:40:00;Teórica;E-303
GMEC;GEXT7402;120302;08:50:00;CÁLCULO NUMÉRICO;45;45;QUI;10:45:00;Prática;E-306
GPROD;GEXT7402;420068;10:50:00;CÁLCULO NUMÉRICO;45;45;TER;12:35:00;Teórica;E-305
GPROD;GEXT7402;420068;10:50:00;CÁLCULO NUMÉRICO;45;45;QUI;12:35:00;Prática;E-306
GTEL;GEXT7402;520238;14:30:00;CÁLCULO NUMÉRICO;20;7;SEG;16:25:00;Prática;E-306
GTEL;GEXT7402;520238;15:35:00;CÁLCULO NUMÉRICO;20;7;QUA;17:20:00;Teórica;L-21
GAUT;GEXT7503;652016;13:35:00;CÁLCULO VETORIAL;25;25;QUI;15:20:00;Teórica;CAMPIII102
