COD_CURSO;COD_DISCIPLINA;COD_TURMA;HR_INICIO;NOME_DISCIPLINA;VAGAS_OFERECIDAS;VAGAS_OCUPADAS;DIA_SEMANA;HR_FIM;TIPO_AULA;NUM_SALA
GTEL;GELE7343;507343;14:30:00;COMUNICAÇÕES VIA SATÉLITE;30;6;TER;17:20:00;Teórica;E-215
BCC;GCC1735;901735;;CONCEPÇÃO E ELABORAÇÃO DE PROJETO FINAL;25;8;;;;
WEB;GTSI1256;640017;;CONCEPÇÃO E ELABORAÇÃO DE PROJETO FINAL;40;3;;;;
GCIV;GCIV0830;700830;20:00:00;CONCRETO PROTENDIDO;20;3;TER;21:50:00;Teórica;D-202
GPROD;GPRO7831;450082;09:55:00;CONFIABILIDADE ESTRUTURAL;40;40;TER;12:35:00;Teórica;E-301
GMEC;GMEC7105;170599;19:11:00;CONSTRUÇÃO DE MÁQUINAS;50;45;QUA;22:41:00;Teórica;E-305
GPROD;GPRO7811;450085;07:00:00;CONTABILIDADE GERENCIAL;40;40;QUA;09:40:00;Teórica;E-301
AMB;GEDA9215;130011;19:10:00;CONTROLE DE POLUIÇÃO I;60;20;QUA;22:40:00;Teórica;
AMB;GEDA9220;130022;17:30:00;CONTROLE DE POLUIÇÃO II;60;19;QUI;19:10:00;Teórica;A-301
AMB;GEDA9220;130022;17:30:00;CONTROLE DE POLUIÇÃO II;60;19;QUA;19:10:00;Teórica;A-301
